Mode,mean,std,count
morgan,0.7416544357170213,0.04926606884783343,25
rdkit2d3d_fp,0.734770391688863,0.06139730165017676,25
rdkit2d_fp,0.7297385466188437,0.05917061220191175,25
rdkit2d,0.6784876062039367,0.06392244129452374,25
