Experiment,R2,MAE,CI_Lower,CI_Upper,N_Features,Aug_Size
Exp_A,0.8072449742049808,0.48813119734131843,0.7274539525794108,0.8623507027537681,2048,642
Exp_B,0.8088663562683034,0.4857256553077471,0.7302678611549464,0.8646231597957049,1212,642
Exp_C,0.7819062801076269,0.529248215275939,0.689395898296696,0.8468003507809705,1212,1926
