Exp_A,Exp_B,Exp_C
0.8088461568912582,0.8088592599866793,0.7848844600486082
0.8109022975223619,0.8104576625046542,0.761072404000994
0.7736953198486668,0.7739306986658581,0.7197959207844148
0.7855163492668144,0.7851144400166393,0.7568202839838976
0.7801861316416181,0.7790889882177048,0.7458609633994316
0.808375480675776,0.8077113146473408,0.7775178434525107
0.7935350112326927,0.7941523821900107,0.7705271056276485
0.7722041432840101,0.7744736154100725,0.7278158349179219
0.7480260413793186,0.7487086904148434,0.7239932124766536
0.824236141719125,0.8244548258849942,0.7840829950755996
0.7990103709146261,0.7966973751906594,0.7549551164370185
0.8306837076637412,0.8308856014858965,0.7979161615356208
0.8201973964181715,0.818674680241535,0.8030885267725238
0.8428975375865397,0.8424795992507221,0.8124294074882379
0.6550157633303452,0.6540522501302909,0.6806949387176713
0.7783139041513419,0.7765152752444261,0.7679320843338828
0.7888761344825725,0.7889366399212342,0.780047862159565
0.8118527303091604,0.8126787658662843,0.7669560774913526
0.7684773837053797,0.7689351022741023,0.7015275406956494
0.8148134129999101,0.8142507101559816,0.7968079361711367
0.803550227260402,0.8027938492581909,0.7803152217242001
0.8455780254948195,0.8464150928871688,0.7970530979954016
0.7968699161607615,0.7954082507208186,0.7530257594894005
0.7944433001552745,0.7934641896229377,0.7709712002155484
0.7992672223673565,0.7988658874759671,0.7862016496103111
0.7895454424475248,0.7882268864414304,0.7746983714742234
0.7780307763587702,0.7775948793756273,0.7436358473480534
0.7513014601390513,0.7550038556522464,0.7283677386834304
0.7694993753678893,0.7696558316142235,0.7441676908350834
0.7494544128377295,0.746726314405692,0.6999870478963384
0.834194070814193,0.8347060101401713,0.8158330765886429
0.7343587609578277,0.7326688128216394,0.7191954627851149
0.7359508822108145,0.735968488242692,0.7014958437793875
0.7612620817602747,0.7604687024744211,0.7450014468123086
0.7976783831332216,0.7985479131753918,0.7713708187075466
0.8338199233392576,0.8348377320820082,0.811417974186883
0.8187757369858687,0.8203686650570431,0.8113393047800697
0.8107353758281787,0.8105322746974777,0.7719581359366292
0.7183758031051699,0.7203097492663442,0.692234200583068
0.824664573947926,0.8241259869530251,0.7972036971814116
0.8211314925272701,0.8203236323877281,0.804024826071426
0.7700498471043598,0.7705557569111801,0.7542316120333444
0.7766306834993206,0.7773190543128059,0.738458540318355
0.8528529594768828,0.8522808441054601,0.8085166317419143
0.8372520400343321,0.8375517021051088,0.8178120538197395
0.7637336722827872,0.7635874794434181,0.7376853888232209
0.8689491608269209,0.8678913521463126,0.8436889207433876
0.8656923680541287,0.8657653607332455,0.8015947714096521
0.7939594604309494,0.7927457248154218,0.7617142015910576
0.8133297008611335,0.8132274598711065,0.8136427749251174
0.8311343663795313,0.8294234328564737,0.8081227228200374
0.8119028276301294,0.8130273335419361,0.7737588047720299
0.8378962883656574,0.8358047770537211,0.8129868985549576
0.8484306394741726,0.8484588527747312,0.8562181800233728
0.8157353823370166,0.8136450782911507,0.7876536772052553
0.7999516506434367,0.7983949446861013,0.7826432627144528
0.8506482263462387,0.8513673905242953,0.8353323276662146
0.7850279376564347,0.7864594085122605,0.7531084641964327
0.8061954002642315,0.8054960577682546,0.774452248500787
0.8499685364684281,0.849773536856893,0.8299202392792626
0.818956666355662,0.8188358584968568,0.7824385212985422
0.7915692405937387,0.7906214360070547,0.7447429431812154
0.7737217884946815,0.7725984465643603,0.7606702723873398
0.7454389373258453,0.7427243654911256,0.7070773084102144
0.8441101832955424,0.843580854551238,0.8267437318827304
0.7956476103423908,0.795001472150162,0.7584917888968159
0.7880867126492912,0.7875780167446664,0.7534472265347819
0.8079005404575602,0.8080112673173947,0.7833771625119946
0.8134157027639038,0.8124319974176878,0.767553137421361
0.7871553396761785,0.7910386784155748,0.7645745939117363
0.773962243214754,0.776348502436516,0.7494770020609896
0.8106371913388146,0.8109052474460243,0.7640227937195091
0.8532838888391098,0.8530306475274456,0.8133277156148813
0.8384323828093649,0.8383973718208357,0.8241991372402951
0.8216581714511961,0.8202724990874743,0.8006629505387828
0.849574246999942,0.8493919362461516,0.8133700364533808
0.8291720386524596,0.8300807737243286,0.8166193845477253
0.8740972016931282,0.8730075521620101,0.8525585008581282
0.6716661349288282,0.6679154191652703,0.6846158815029134
0.7692717497728514,0.7682468329299781,0.7571088665142401
0.767850897540658,0.7653006121226289,0.7715686389930305
0.8272710482970291,0.827896342217775,0.7768103815847904
0.8343641323447168,0.8357668021899319,0.8301111404764667
0.7831157079128327,0.7835598853481218,0.774947017375152
0.8487731574120231,0.8467760667759774,0.8229683139742896
0.8133844532135377,0.8137608593820089,0.7783348729205039
0.7605250643977071,0.7601455926054712,0.7215269656150789
0.8141844670348002,0.8139670723860897,0.812882368514941
0.8204973357822773,0.820936254196071,0.7750459680726084
0.7980309327744056,0.7976194177811439,0.775992290183472
0.8683406638568163,0.867348163331785,0.845154825868565
0.7830883943476414,0.778785196395677,0.7334973812037597
