Model,R2_inner_mean,R2_inner_std,MAE_inner_mean,Mode,Fold
RF+ET+kNN,0.7104359058440257,0.04826733278224086,0.49954745249016985,morgan,6
RF+XGB,0.7094922651048642,0.049952622132726186,0.5002499778702325,morgan,6
RF+kNN,0.7092709290024631,0.050685063292999405,0.5032990378924705,morgan,6
XGB+kNN,0.7079653543987365,0.04274168981035834,0.5141636164559766,morgan,6
ET+XGB+kNN,0.7063343165325764,0.04050977247486204,0.5153295378987951,morgan,6
RF,0.7062409203230573,0.05309793374421408,0.4951287213428676,morgan,6
LGBM+XGB,0.7062389219400049,0.0359138548551792,0.5221151317081321,morgan,6
ET+LGBM+kNN,0.705536318904034,0.043756618669895775,0.5170319916800524,morgan,6
LGBM+kNN,0.7046285629796789,0.046824576993371635,0.5193470749612562,morgan,6
RF+ET,0.7032378695524371,0.047068433670948,0.5016477851840089,morgan,6
ET+LGBM+XGB,0.7018308222921332,0.032188839675542535,0.5253499320683954,morgan,6
LGBM,0.6934558850843076,0.030420812665845932,0.5255672606330203,morgan,6
ET+LGBM,0.6871194976846045,0.030124052349897408,0.5413472310542817,morgan,6
XGB,0.6852407272417878,0.06081906056501039,0.5191636191043077,morgan,6
ET+XGB,0.6779615634516997,0.042479557615636654,0.5453868679019473,morgan,6
ET+kNN,0.6766533387660327,0.04755871170556273,0.547599405398418,morgan,6
kNN,0.6478222839256841,0.065493229517268,0.5654400006009918,morgan,6
ET,0.5524723844120543,0.0987892117643103,0.5938070995659037,morgan,6
SVM,0.7259476464451569,0.04077621487332944,0.49580971740987134,morgan,7
RF+LGBM+SVM,0.7240521514825087,0.044971067886539776,0.4970491545715968,morgan,7
RF+SVM,0.7234470560457738,0.04583654160775773,0.498133897110599,morgan,7
ET+LGBM+SVM,0.7226217023635533,0.041994382578011,0.5025384722520292,morgan,7
ET+SVM,0.7220703927209933,0.04365646501272619,0.5052504539768725,morgan,7
LGBM+SVM,0.721295573528088,0.0357120621112665,0.5013398064369883,morgan,7
XGB+SVM,0.7209367642844994,0.043483372286846726,0.5054852325928351,morgan,7
RF+ET+SVM,0.7204070142878705,0.043469112469470154,0.4989363493719603,morgan,7
LGBM+XGB+SVM,0.7201862084293681,0.03957440037471264,0.5058537242351574,morgan,7
ET+XGB+SVM,0.7194029989313548,0.04855998719950476,0.5055893271070542,morgan,7
RF+XGB+SVM,0.7174337123875878,0.04868770390913836,0.5009645403653635,morgan,7
RF+SVM+kNN,0.715646239270621,0.043737055843764215,0.5031211495375105,morgan,7
SVM+kNN,0.7150299813256289,0.04041612487504751,0.5022091199217316,morgan,7
XGB+SVM+kNN,0.713377207375393,0.04511814792167129,0.506575857227437,morgan,7
LGBM+SVM+kNN,0.7129625701552754,0.03631780628140186,0.5036275846445047,morgan,7
ET+SVM+kNN,0.7128389081102691,0.04283866926723658,0.5052787151912679,morgan,7
RF+LGBM,0.7092348490619313,0.04803528707359573,0.5084730765516742,morgan,7
RF+LGBM+XGB,0.7066526418979531,0.05168096684032611,0.5091033226135957,morgan,7
RF+ET+LGBM,0.7066056786500019,0.04487125879988164,0.5098018606925185,morgan,7
RF+LGBM+kNN,0.7049531076409017,0.04501549633545918,0.5092881871048781,morgan,7
ET+LGBM+XGB,0.7014621691519322,0.05014577969970307,0.5214224960366427,morgan,7
LGBM+XGB+kNN,0.7009699990598713,0.03979225794052003,0.5152334082964654,morgan,7
RF,0.7007776917550115,0.05270605196900474,0.515837766195365,morgan,7
LGBM+XGB,0.7007506464663091,0.043542020850574556,0.5238711189834302,morgan,7
RF+XGB,0.7002625712812218,0.05401296649568087,0.5154588537341395,morgan,7
RF+ET+XGB,0.6980499329621666,0.0493281648491616,0.5161591247728341,morgan,7
RF+ET,0.6974483507680285,0.048368242731086766,0.5197276785087441,morgan,7
RF+XGB+kNN,0.6973009629283645,0.049075719465196274,0.5149887967579169,morgan,7
RF+kNN,0.6968626151072996,0.048603496717617815,0.5188194850728512,morgan,7
XGB+kNN,0.696608998854004,0.03991092501828554,0.5250301265716624,morgan,7
ET+LGBM+kNN,0.6952723765682871,0.04046993284359698,0.5168032140289285,morgan,7
RF+ET+kNN,0.6927912097774631,0.04777670364252326,0.5199557650087444,morgan,7
ET+LGBM,0.6918113268988122,0.044375595209863714,0.5295907943158508,morgan,7
XGB,0.6913491260151411,0.061098272009845446,0.5268692618873521,morgan,7
ET+XGB+kNN,0.6910564531334165,0.04551109074164953,0.5240846657865907,morgan,7
LGBM+kNN,0.6909525232398945,0.032589646713034416,0.5228069443514634,morgan,7
LGBM,0.6800666985055402,0.031127150864933607,0.5300859762739641,morgan,7
ET+XGB,0.6797123501706401,0.05678107520955602,0.5534606984194367,morgan,7
ET+kNN,0.6684558061596657,0.042220343538282086,0.5466547785324364,morgan,7
kNN,0.6449757967403145,0.04039520149408033,0.5559046388595041,morgan,7
ET,0.531655416026025,0.07928133849686939,0.6070991637519323,morgan,7
XGB+SVM+kNN,0.7123374151039124,0.02912925878841281,0.5133124845264753,morgan,8
XGB+SVM,0.7111753186360252,0.014799373278391207,0.5222396531564695,morgan,8
