Comparison,Delta_R2_Point,Delta_R2_BootMean,CI_Lower,CI_Upper,P_Boot
Exp_C - Exp_A,-0.026609579402849692,-0.02812980785378124,-0.06934301987857072,0.006363568060900337,0.128
Exp_B - Exp_A,-0.0002250798225564843,-0.00021781804840854602,-0.002856141109125539,0.002337690547404966,0.865
Exp_C - Exp_B,-0.026384499580293208,-0.02791198980537269,-0.06894888503183787,0.006487620790781779,0.131
